Feature	Description	Category	Total
1A	Consonant Inventories	Phonology	563
2A	Vowel Quality Inventories	Phonology	564
3A	Consonant-Vowel Ratio	Phonology	564
4A	Voicing in Plosives and Fricatives	Phonology	567
5A	Voicing and Gaps in Plosive Systems	Phonology	567
6A	Uvular Consonants	Phonology	567
7A	Glottalized Consonants	Phonology	567
8A	Lateral Consonants	Phonology	567
9A	The Velar Nasal	Phonology	469
10A	Vowel Nasalization	Phonology	244
10B	Nasal Vowels in West Africa	Phonology	40
11A	Front Rounded Vowels	Phonology	562
12A	Syllable Structure	Phonology	486
13A	Tone	Phonology	527
14A	Fixed Stress Locations	Phonology	502
15A	Weight-Sensitive Stress	Phonology	500
16A	Weight Factors in Weight-Sensitive Stress Systems	Phonology	500
17A	Rhythm Types	Phonology	323
18A	Absence of Common Consonants	Phonology	567
19A	Presence of Uncommon Consonants	Phonology	567
20A	Fusion of Selected Inflectional Formatives	Morphology	165
21A	Exponence of Selected Inflectional Formatives	Morphology	162
21B	Exponence of Tense-Aspect-Mood Inflection	Morphology	160
22A	Inflectional Synthesis of the Verb	Morphology	145
23A	Locus of Marking in the Clause	Morphology	236
24A	Locus of Marking in Possessive Noun Phrases	Morphology	236
25A	Locus of Marking: Whole-language Typology	Morphology	236
25B	Zero Marking of A and P Arguments	Morphology	235
26A	Prefixing vs. Suffixing in Inflectional Morphology	Morphology	969
27A	Reduplication	Morphology	368
28A	Case Syncretism	Morphology	198
29A	Syncretism in Verbal Person/Number Marking	Morphology	198
30A	Number of Genders	Nominal Categories	257
31A	Sex-based and Non-sex-based Gender Systems	Nominal Categories	257
32A	Systems of Gender Assignment	Nominal Categories	257
33A	Coding of Nominal Plurality	Nominal Categories	1066
34A	Occurrence of Nominal Plurality	Nominal Categories	291
35A	Plurality in Independent Personal Pronouns	Nominal Categories	261
36A	The Associative Plural	Nominal Categories	236
37A	Definite Articles	Nominal Categories	620
38A	Indefinite Articles	Nominal Categories	534
39A	Inclusive/Exclusive Distinction in Independent Pronouns	Nominal Categories	200
39B	Inclusive/Exclusive Forms in Pama-Nyungan	Nominal Categories	71
40A	Inclusive/Exclusive Distinction in Verbal Inflection	Nominal Categories	200
41A	Distance Contrasts in Demonstratives	Nominal Categories	234
42A	Pronominal and Adnominal Demonstratives	Nominal Categories	201
43A	Third Person Pronouns and Demonstratives	Nominal Categories	225
44A	Gender Distinctions in Independent Personal Pronouns	Nominal Categories	378
45A	Politeness Distinctions in Pronouns	Nominal Categories	207
46A	Indefinite Pronouns	Nominal Categories	326
47A	Intensifiers and Reflexive Pronouns	Nominal Categories	168
48A	Person Marking on Adpositions	Nominal Categories	378
49A	Number of Cases	Nominal Categories	261
50A	Asymmetrical Case-Marking	Nominal Categories	261
51A	Position of Case Affixes	Nominal Categories	1031
52A	Comitatives and Instrumentals	Nominal Categories	322
53A	Ordinal Numerals	Nominal Categories	321
54A	Distributive Numerals	Nominal Categories	251
55A	Numeral Classifiers	Nominal Categories	400
56A	Conjunctions and Universal Quantifiers	Nominal Categories	116
57A	Position of Pronominal Possessive Affixes	Nominal Categories	902
58A	Obligatory Possessive Inflection	Nominal Syntax	244
58B	Number of Possessive Nouns	Nominal Syntax	243
59A	Possessive Classification	Nominal Syntax	243
60A	Genitives, Adjectives and Relative Clauses	Nominal Syntax	138
61A	Adjectives without Nouns	Nominal Syntax	124
62A	Action Nominal Constructions	Nominal Syntax	168
63A	Noun Phrase Conjunction	Nominal Syntax	234
64A	Nominal and Verbal Conjunction	Nominal Syntax	301
65A	Perfective/Imperfective Aspect	Verbal Categories	222
66A	The Past Tense	Verbal Categories	222
67A	The Future Tense	Verbal Categories	222
68A	The Perfect	Verbal Categories	222
69A	Position of Tense-Aspect Affixes	Verbal Categories	1131
70A	The Morphological Imperative	Verbal Categories	547
71A	The Prohibitive	Verbal Categories	495
72A	Imperative-Hortative Systems	Verbal Categories	375
73A	The Optative	Verbal Categories	319
74A	Situational Possibility	Verbal Categories	234
75A	Epistemic Possibility	Verbal Categories	240
76A	Overlap between Situational and Epistemic Modal Marking	Verbal Categories	207
77A	Semantic Distinctions of Evidentiality	Verbal Categories	418
78A	Coding of Evidentiality	Verbal Categories	418
79A	Suppletion According to Tense and Aspect	Verbal Categories	193
79B	Suppletion in Imperatives and Hortatives	Verbal Categories	193
80A	Verbal Number and Suppletion	Verbal Categories	193
81A	Order of Subject, Object and Verb	Word Order	1377
81B	Languages with two Dominant Orders of Subject, Object, and Verb	Word Order	67
82A	Order of Subject and Verb	Word Order	1497
83A	Order of Object and Verb	Word Order	1519
84A	Order of Object, Oblique, and Verb	Word Order	500
85A	Order of Adposition and Noun Phrase	Word Order	1183
86A	Order of Genitive and Noun	Word Order	1249
87A	Order of Adjective and Noun	Word Order	1366
88A	Order of Demonstrative and Noun	Word Order	1224
89A	Order of Numeral and Noun	Word Order	1153
90A	Order of Relative Clause and Noun	Word Order	824
90B	Prenominal relative clauses	Word Order	191
90C	Postnominal relative clauses	Word Order	620
90D	Internally-headed relative clauses	Word Order	63
90E	Correlative relative clauses	Word Order	23
90F	Adjoined relative clauses	Word Order	10
90G	Double-headed relative clauses	Word Order	5
91A	Order of Degree Word and Adjective	Word Order	481
92A	Position of Polar Question Particles	Word Order	884
93A	Position of Interrogative Phrases in Content Questions	Word Order	902
94A	Order of Adverbial Subordinator and Clause	Word Order	659
95A	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase	Word Order	1142
96A	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun	Word Order	879
97A	Relationship between the Order of Object and Verb and the Order of Adjective and Noun	Word Order	1316
98A	Alignment of Case Marking of Full Noun Phrases	Simple Clauses	190
99A	Alignment of Case Marking of Pronouns	Simple Clauses	172
100A	Alignment of Verbal Person Marking	Simple Clauses	380
101A	Expression of Pronominal Subjects	Simple Clauses	711
102A	Verbal Person Marking	Simple Clauses	378
103A	Third Person Zero of Verbal Person Marking	Simple Clauses	380
104A	Order of Person Markers on the Verb	Simple Clauses	379
105A	Ditransitive Constructions: The Verb 'Give'	Simple Clauses	378
106A	Reciprocal Constructions	Simple Clauses	175
107A	Passive Constructions	Simple Clauses	373
108A	Antipassive Constructions	Simple Clauses	194
108B	Productivity of the Antipassive Construction	Simple Clauses	186
109A	Applicative Constructions	Simple Clauses	183
109B	Other Roles of Applied Objects	Simple Clauses	183
110A	Periphrastic Causative Constructions	Simple Clauses	118
111A	Nonperiphrastic Causative Constructions	Simple Clauses	310
112A	Negative Morphemes	Simple Clauses	1157
113A	Symmetric and Asymmetric Standard Negation	Simple Clauses	297
114A	Subtypes of Asymmetric Standard Negation	Simple Clauses	297
115A	Negative Indefinite Pronouns and Predicate Negation	Simple Clauses	206
116A	Polar Questions	Simple Clauses	955
117A	Predicative Possession	Simple Clauses	240
118A	Predicative Adjectives	Simple Clauses	386
119A	Nominal and Locational Predication	Simple Clauses	386
120A	Zero Copula for Predicate Nominals	Simple Clauses	386
121A	Comparative Constructions	Simple Clauses	167
122A	Relativization on Subjects	Complex Sentences	166
123A	Relativization on Obliques	Complex Sentences	112
124A	'Want' Complement Subjects	Complex Sentences	283
125A	Purpose Clauses	Complex Sentences	170
126A	'When' Clauses	Complex Sentences	174
127A	Reason Clauses	Complex Sentences	169
128A	Utterance Complement Clauses	Complex Sentences	143
129A	Hand and Arm	Lexicon	617
130A	Finger and Hand	Lexicon	593
130B	Cultural Categories of Languages with Identity of 'Finger' and 'Hand'	Lexicon	72
131A	Numeral Bases	Lexicon	196
132A	Number of Non-Derived Basic Colour Categories	Lexicon	119
133A	Number of Basic Colour Categories	Lexicon	119
134A	Green and Blue	Lexicon	120
135A	Red and Yellow	Lexicon	120
136A	M-T Pronouns	Lexicon	230
136B	M in First Person Singular	Lexicon	230
137A	N-M Pronouns	Lexicon	230
137B	M in Second Person Singular	Lexicon	230
138A	Tea	Lexicon	230
139A	Irregular Negatives in Sign Languages	Sign Languages	35
140A	Question Particles in Sign Languages	Sign Languages	38
141A	Writing Systems	Other	6
142A	Para-Linguistic Usages of Clicks	Other	143
143A	Order of Negative Morpheme and Verb	Word Order	1324
143B	Obligatory Double Negation	Word Order	119
143C	Optional Double Negation	Word Order	81
143D	Optional Triple Negation	Word Order	6
143E	Preverbal Negative Morphemes	Word Order	1324
143F	Postverbal Negative Morphemes	Word Order	1324
143G	Minor morphological means of signaling negation	Word Order	1324
144A	Position of Negative Word With Respect to Subject, Object, and Verb	Word Order	1189
144B	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Word Order	609
144C	Languages with different word order in negative clauses	Word Order	28
